perturbation_type,perturbation_params,nrmse,dssim,wavesim,wavesim_components
shifted_case_1,"{'shift_lon_deg': -1.0, 'shift_lat_deg': 0.0}",0.9493239969015121,0.4550228416919708,0.8809685707092285,"{'magnitude': array([0.98859626, 0.997053  , 0.9376825 , 0.99518514], dtype=float32), 'displacement': array([0.8855888 , 0.91205806, 0.91556823, 0.9370179 ], dtype=float32), 'structural': array([0.9939273 , 0.9962616 , 0.97729903, 0.9744782 ], dtype=float32)}"
shifted_case_2,"{'shift_lon_deg': -2.0, 'shift_lat_deg': 0.0}",0.9249226376414299,0.31002068519592285,0.8303840756416321,"{'magnitude': array([0.99452484, 0.9964428 , 0.9875355 , 0.9725798 ], dtype=float32), 'displacement': array([0.80532885, 0.8710718 , 0.8878453 , 0.8558011 ], dtype=float32), 'structural': array([0.9881333 , 0.991231  , 0.99134475, 0.9618352 ], dtype=float32)}"
shifted_case_3,"{'shift_lon_deg': -10.0, 'shift_lat_deg': 0.0}",0.8758093938231468,0.17974762618541718,0.5929139852523804,"{'magnitude': array([0.91281265, 0.9499121 , 0.9058672 , 0.90374184], dtype=float32), 'displacement': array([0.6468387 , 0.8204376 , 0.7022734 , 0.62340534], dtype=float32), 'structural': array([0.91184145, 0.93838745, 0.936915  , 0.8979558 ], dtype=float32)}"
shifted_case_4,"{'shift_lon_deg': -10.0, 'shift_lat_deg': -10.0}",0.8755722492933273,0.18811775743961334,0.44488996267318726,"{'magnitude': array([0.9348463 , 0.9263281 , 0.99761736, 0.94556916], dtype=float32), 'displacement': array([0.3063357 , 0.52120155, 0.53579175, 0.60683465], dtype=float32), 'structural': array([0.9641068, 0.9438007, 0.9346783, 0.9553641], dtype=float32)}"
shifted_case_5,"{'shift_lon_deg': -40.0, 'shift_lat_deg': -60.0}",0.8153340816497803,0.15784978866577148,0.0382743738591671,"{'magnitude': array([0.22490036, 0.12743193, 0.2094472 , 0.3018158 ], dtype=float32), 'displacement': array([0.28186762, 0.23290691, 0.26761788, 0.31119972], dtype=float32), 'structural': array([0.6479152 , 0.58439636, 0.6283703 , 0.6330446 ], dtype=float32)}"
flip_case_1,{'flip': 'horizontal'},0.8897057920694351,0.1604209840297699,0.5740386247634888,"{'magnitude': array([0.9972659, 0.9803921, 0.9769344, 0.9429525], dtype=float32), 'displacement': array([0.62437624, 0.6962395 , 0.6252336 , 0.43116826], dtype=float32), 'structural': array([0.9957906 , 0.99033636, 0.9886439 , 0.97458744], dtype=float32)}"
flip_case_2,{'flip': 'vertical'},0.89582908898592,0.10031145066022873,0.5878269672393799,"{'magnitude': array([0.9925446 , 0.99997264, 0.99813324, 0.99945754], dtype=float32), 'displacement': array([0.4613292 , 0.5888483 , 0.65899104, 0.68281597], dtype=float32), 'structural': array([0.9923565 , 0.9863947 , 0.98434144, 0.9797641 ], dtype=float32)}"
flip_case_3,{'flip': 'diagonal'},0.8933858573436737,0.07348845899105072,0.3800612986087799,"{'magnitude': array([0.99999994, 0.99999994, 0.99999994, 0.99999994], dtype=float32), 'displacement': array([0.3775207 , 0.45356655, 0.4263906 , 0.26273265], dtype=float32), 'structural': array([1.0000304, 1.0000154, 1.0000291, 1.0000149], dtype=float32)}"
upscale_case_1,{'scale_factor': 0.5},0.9802775178104639,0.7648199200630188,0.7073575854301453,"{'magnitude': array([0.5299468, 0.7582857, 0.9444512, 0.9898415], dtype=float32), 'displacement': array([0.8189961 , 0.9478518 , 0.98700655, 0.9967833 ], dtype=float32), 'structural': array([0.6865774 , 0.89878064, 0.97753227, 0.9873859 ], dtype=float32)}"
upscale_case_2,{'scale_factor': 0.3},0.9526943936944008,0.39296606183052063,0.6428531408309937,"{'magnitude': array([0.5556776 , 0.99524915, 0.8015324 , 0.9846563 ], dtype=float32), 'displacement': array([0.57963467, 0.8354726 , 0.8556824 , 0.94060165], dtype=float32), 'structural': array([0.7070215, 0.9856602, 0.9150481, 0.9679827], dtype=float32)}"
upscale_case_3,{'scale_factor': 0.1},0.9219348803162575,0.2885579466819763,0.5281027555465698,"{'magnitude': array([0.51080644, 0.9823998 , 0.9097293 , 0.9919486 ], dtype=float32), 'displacement': array([0.3837939 , 0.63643044, 0.71117955, 0.77517235], dtype=float32), 'structural': array([0.75866455, 0.97741807, 0.9381442 , 0.96966714], dtype=float32)}"
noise_case_1,,0.9653520062565804,0.32037225365638733,0.94266277551651,"{'magnitude': array([0.9955815, 0.9930897, 0.9798494, 0.9727612], dtype=float32), 'displacement': array([0.99523556, 0.99825907, 0.9943934 , 0.9924725 ], dtype=float32), 'structural': array([0.9839004, 0.9736791, 0.9492396, 0.9380199], dtype=float32)}"
noise_case_2,,0.9927937514148653,0.35444319248199463,0.8514577746391296,"{'magnitude': array([0.8289726 , 0.9966621 , 0.9979017 , 0.99303746], dtype=float32), 'displacement': array([0.95111144, 0.9994119 , 0.99993944, 0.99994683], dtype=float32), 'structural': array([0.614431 , 0.9526628, 0.9896961, 0.9918599], dtype=float32)}"
noise_case_3,,0.9937570225447416,0.3844797611236572,0.9223310947418213,"{'magnitude': array([0.99539334, 0.9519426 , 0.99872696, 0.9948419 ], dtype=float32), 'displacement': array([0.99914205, 0.99215114, 0.99993044, 0.9999626 ], dtype=float32), 'structural': array([0.92847836, 0.839068  , 0.9872527 , 0.99267066], dtype=float32)}"
noise_case_4,,0.9951058113947511,0.4240184724330902,0.9612991809844971,"{'magnitude': array([0.99715626, 0.9972905 , 0.98993015, 0.99718004], dtype=float32), 'displacement': array([0.9996288, 0.9997575, 0.9983639, 0.9999777], dtype=float32), 'structural': array([0.9502344 , 0.9690525 , 0.94973975, 0.9960168 ], dtype=float32)}"
noise_case_5,,0.9877154296264052,0.39360782504081726,0.9463703632354736,"{'magnitude': array([0.99501723, 0.99722457, 0.9921926 , 0.9739795 ], dtype=float32), 'displacement': array([0.9983818 , 0.9995141 , 0.99841005, 0.9912729 ], dtype=float32), 'structural': array([0.9791574, 0.9691102, 0.9662312, 0.9214755], dtype=float32)}"
